name,player_id,discord_id,ar_basics,ar_pro,at_basics,cmd_basics,parkour,at_pro,recon_basics,sl_basics,tactic_basics,infantry_basics,tank_basics,mg_basics,at_basics
🅿Ⓐ🅽🅺🆈,76561198067108353,548232343308075036,0,0,0,0,0,0,0,0,0,0,0,0,0
Bl4y3r CZ,76561197990196370,934583573275639840,0,0,0,0,0,0,0,0,0,0,0,0,0
Benny,76561198071367040,990234289012637746,0,0,0,0,0,0,0,0,0,0,0,0,0
Dword,76561198000668488,466946697604497410,0,0,0,0,0,0,0,0,0,0,0,0,0
Dorfieee,76561198178339671,487532180223033354,0,0,0,0,0,0,0,0,0,0,0,0,0
ムRaptorム,76561198009670431,660158141236903946,0,0,0,0,0,0,0,0,0,0,0,0,0
Lucky,76561198016234272,527798243883745302,0,0,0,0,0,0,0,0,0,0,0,0,0
Toshiro08CZ,88d1dee40bfa646191d70ff7adefa609,552566081601142804,1,0,0,0,0,0,0,1,0,0,0,1,0
Ninjonik,76561198261125749,231105080961531905,0,0,0,0,0,0,0,0,0,0,0,0,0
zoomik23,76561198236780620,540572173060931594,0,0,0,0,0,0,0,0,0,0,0,0,0
Altanok5,f17568f25c8fb49a2c10c23e444ad07b,263430031378743308,0,0,0,0,1,0,0,0,0,0,0,0,0
fejkr,76561197984687310,256847332841095168,0,0,0,0,0,0,0,0,0,0,0,0,0
AnglordCZ,eb1d2a707fe4402589dcfa5ba17f03bc,659020070256902169,1,0,0,0,0,0,0,1,0,0,0,1,0
JakubossCZ,76561199613673462,964118512534712361,1,0,0,0,0,0,0,1,0,0,0,0,0
Meduz,af4259a99adbceb01c537d400a0fd599,771480826974175253,1,0,0,0,0,0,0,0,0,0,0,0,0
PanTajnej,76561198288828080,858237202337497128,0,0,0,0,0,0,0,0,0,0,0,0,0
Newtie42,ba62afbcf777446cb9cffd7b8f7acab8,751112951158800545,0,0,0,0,0,0,0,1,0,0,0,0,0
Fejfi,76561198035069212,776422890454515723,0,0,0,0,0,0,0,0,0,0,0,0,0
Hynek,76561199239839665,759791776553893899,1,0,0,0,0,0,0,1,0,0,0,0,0
Maximus,71c67f53686bc80f387ec66ccec2b598,693193937044766872,0,0,0,0,0,0,0,0,0,0,0,0,0
WΦRRY,76561198152833780,321401548846530560,0,0,0,0,0,0,0,0,0,0,0,0,0
Dr1Zod_22,2b8de72c0cec481fb7e53bac46922685,694052119958913024,0,0,0,0,0,0,0,1,0,0,1,0,0
GoLeM,76561198012664514,530850387511607326,0,0,0,0,0,0,0,0,0,0,0,0,0
lakatoš59,76561198204677099,434665201409720321,0,0,0,0,0,0,0,0,0,0,0,0,0
RAaaaACA,76561198095803104,224159067789066240,0,0,0,0,0,0,0,0,0,0,0,0,0
Hamibaba,76561198095802046,447788256952713226,0,0,0,0,0,0,0,0,0,0,0,0,0
Patronas,76561198089226065,785194659533422634,0,0,0,0,0,0,0,0,0,0,0,0,0
Synix,76561199071765915,871319393697673257,0,0,0,0,1,0,0,1,0,0,0,1,0
izizi,9db4c708aecaa3dd14ab475772f64935,474866520598511617,0,0,0,0,0,0,0,0,0,0,0,0,0
Štěpáncz,76561198327319663,486980418344845323,0,0,0,0,0,0,0,0,0,0,0,0,0
